Date;Crédits à l'habitat hors renégociations;Taux hors renégociations;Variations d'encours mensuelles cvs;IPC
2015-01-01;8,6;2,49;4,18;-0.4
2015-02-01;8,7;2,42;1,75;-0.3
2015-03-01;9,5;2,34;4,44;-0.1
2015-04-01;9,8;2,24;3,54;0.1
2015-05-01;9,3;2,18;2,2;0.3
2015-06-01;10,1;2,13;2,05;0.3
2015-07-01;10,6;2,08;3,08;0.2
2015-08-01;11;2,1;1,49;0.0
2015-09-01;11,9;2,17;2,83;0.0
2015-10-01;11,2;2,23;2,41;0.1
2015-11-01;10;2,29;3,27;0.0
2015-12-01;9,8;2,27;1,15;0.2
2016-01-01;8,8;2,27;1,7;0.2
2016-02-01;10,3;2,2;2,79;-0.2
2016-03-01;10;2,12;2,47;-0.1
2016-04-01;10,6;2,02;2,55;-0.2
2016-05-01;11,2;1,88;2,85;0.0
2016-06-01;11,8;1,75;2,25;0.2
2016-07-01;11,5;1,67;3,27;0.2
2016-08-01;11,9;1,62;3,76;0.2
2016-09-01;12,5;1,58;3,13;0.4
2016-10-01;12,3;1,48;4,02;0.4
2016-11-01;12,3;1,43;4,17;0.5
2016-12-01;14,1;1,38;4,44;0.6
2017-01-01;14,7;1,38;5,6;1.3
2017-02-01;13,5;1,44;5,44;1.2
2017-03-01;14,5;1,48;4,93;1.1
2017-04-01;13,6;1,52;5,03;1.2
2017-05-01;13,9;1,56;4,41;0.8
2017-06-01;13,7;1,58;4,68;0.7
2017-07-01;13,5;1,59;3,56;0.7
2017-08-01;10,5;1,62;4,27;0.9
2017-09-01;10,7;1,61;4,74;1.0
2017-10-01;11;1,62;4,05;1.1
2017-11-01;13,2;1,6;4,49;1.2
2017-12-01;14,1;1,57;5,38;1.2
2018-01-01;13,9;1,58;4,53;1.3
2018-02-01;12,3;1,56;3,78;1.2
2018-03-01;13,2;1,53;3,84;1.6
2018-04-01;13,2;1,53;4,68;1.6
2018-05-01;13;1,52;4,37;2.0
2018-06-01;14,3;1,51;4,59;2.0
2018-07-01;14,9;1,5;4,87;2.3
2018-08-01;14,6;1,49;5,11;2.3
2018-09-01;14,5;1,49;4,53;2.2
2018-10-01;15,1;1,48;5,25;2.2
2018-11-01;14,6;1,47;4,26;1.9
2018-12-01;15,3;1,46;5,52;1.6
2019-01-01;14,9;1,48;4,61;1.2
2019-02-01;14,9;1,49;5,35;1.3
2019-03-01;15,2;1,48;5,81;1.1
2019-04-01;15,2;1,46;5,04;1.3
2019-05-01;14,5;1,41;5,89;0.9
2019-06-01;15,9;1,36;5,71;1.2
2019-07-01;17,4;1,31;7,31;1.1
2019-08-01;15,9;1,27;5,25;1.0
2019-09-01;16,7;1,24;6,42;0.9
2019-10-01;17,9;1,19;6,02;0.8
2019-11-01;17,1;1,16;5,55;1.0
2019-12-01;17,8;1,14;6,12;1.5
2020-01-01;16,9;1,15;6,38;1.5
2020-02-01;18,3;1,17;6,55;1.4
2020-03-01;14,3;1,17;1,04;0.7
2020-04-01;11,6;1,16;0,01;0.3
2020-05-01;14,4;1,17;6,98;0.4
2020-06-01;13;1,22;3,78;0.2
2020-07-01;13,5;1,27;2,78;0.8
2020-08-01;16,6;1,29;5,15;0.2
2020-09-01;18,9;1,28;6,55;0.0
2020-10-01;20;1,26;7,27;0.0
2020-11-01;18,7;1,24;6,25;0.2
2020-12-01;17,5;1,21;5,68;0.0
2021-01-01;15,9;1,2;5,23;0.6
2021-02-01;16;1,18;4,52;0.6
2021-03-01;17,9;1,14;3,67;1.1
2021-04-01;19,3;1,11;6,33;1.2
2021-05-01;20,9;1,1;6,82;1.4
2021-06-01;21,3;1,09;7,5;1.5
2021-07-01;20,4;1,08;8,2;1.2
2021-08-01;19,7;1,09;5,62;1.9
2021-09-01;19,1;1,09;6,76;2.2
2021-10-01;19,6;1,08;5,94;2.6
2021-11-01;18,2;1,07;5,54;2.8
2021-12-01;17,9;1,06;7,33;2.8
2022-01-01;18,8;1,07;5,91;2.9
2022-02-01;18,1;1,09;5,95;3.6
2022-03-01;19,7;1,11;6,44;4.5
2022-04-01;20,6;1,16;6,28;4.8
2022-05-01;22,2;1,25;6,46;5.2
2022-06-01;19;1,34;6,64;5.8
2022-07-01;18,6;1,45;6,14;6.1
2022-08-01;18,8;1,59;5,12;5.9
2022-09-01;16,3;1,7;5,23;5.6
2022-10-01;16;1,81;3,63;6.2
2022-11-01;15,8;1,96;3,83;6.2
2022-12-01;13,9;2,12;3,02;5.9
2023-01-01;13,5;2,31;2,69;6.0
2023-02-01;12,4;2,51;2,76;6.3
2023-03-01;12,3;2,72;3,02;5.7
2023-04-01;12,6;2,92;2,11;5.9
2023-05-01;12,1;3,08;2,01;5.1
2023-06-01;11,1;3,25;1,04;4.5
2023-07-01;10;3,43;0,23;4.3
2023-08-01;9,8;3,62;0,26;4.9
2023-09-01;9,1;3,73;-0,81;4.9
2023-10-01;9;3,87;-0,21;4.0
2023-11-01;8,5;3,99;-0,18;3.5
2023-12-01;8,1;4,04;-1,25;3.7
2024-01-01;7;4,17;-0,83;3.1
2024-02-01;6,9;4,11;-0,89;3.0
2024-03-01;7,6;3,94;-1,56;2.3
